BoroName,NTAName,id,mhinc_70,mhinc_80,mhinc_90,mhinc_00,mhinc_10,pcol_70,pcol_80,pcol_90,pcol_00,pcol_10,70_HINC70,70_MHMVAL7,70_MRENT70,00_MHMVAL0,00_MRENT00,10_mrent0a,10_mhmval0,70_POP70,70_WHITE70,70_BLACK70,80_POP80,80_NHWHT80,80_NHBLK80,80_MHMVAL8,80_MRENT80,90_POP90,90_NHWHT90,90_NHBLK90,90_MHMVAL9,90_MRENT90,00_POP00,00_NHWHT00,00_NHBLK00,10_pop10,10_nhwht10,10_nhblk10
Manhattan,Central Harlem North-Polo Grounds,36061020600,0,5009,14884,25714,31389,2,6,8,22,28,3738.738863,21500,64.08283885,260700,435,617,513400,4719.00001757964,112.000000417233,4571,2824.00001052022,28,2691,39167.0001459084,134.000000499189,1922.00000716001,25.0000000931323,1634,84400.0003144145,228.000000849366,2310,84,1849,2942,272,1951
Manhattan,Central Harlem North-Polo Grounds,36061023400,0,6390,15274,20257,40371,4,8,10,9,28,4697.580357,,66.41593412,0,501,827,415000,6244.00002326071,44.0000001639128,6177,3828.00001426041,36,3667,,141.000000525266,3585.00001335517,76.0000002831221,3149,0,281.000001046807,3530,38,2913,4465,321,2974
Manhattan,Washington Heights South,36061023900,0,6423,12500,17841,20731,6,6,11,13,27,4849.056437,,75.97609976,266700,439,806,196400,2967.00004421175,130.000001937151,2817,2327.000034675,23,2142,47500.0007078052,154.000002294779,1993.00002969801,29.0000004321337,1542,212500.003166497,294.000004380941,2686,61,1473,2371,221,931
Manhattan,Washington Heights South,36061024900,0,5721,17656,20197,29500,4,0,10,6,11,5330.768765,,68.29166401,350000,383,706,56200,1392.99995848536,555.999983429909,785,1111.99996685982,42,521,19999.9994039536,154.99999538064,1308.99996098876,27.999999165535,455,87499.9973922968,287.999991416931,1150,22,261,1101,70,206
Manhattan,Washington Heights South,36061025300,0,10390,20448,26899,35244,6,8,11,9,19,6405.454603,,82.51691147,134100,541,900,78200,10370.9999710238,8207.99997706711,1458,11305.9999684114,1552,660,24999.9999301508,189.999999469146,12840.9999641227,1026.9999971306,566,116699.999673944,374.999998952262,12753,655,614,11236,1224,557
Manhattan,Central Harlem South,36061025700,0,6861,12737,21530,50979,5,8,16,17,54,4521.008803,,69.17182886,130542.953,458.4482448,798,722300,5399.99994625291,380.999994588317,4948,3838.99997895677,14,3702,43902.4387446527,143.427326805185,3244.99997295556,348.999994978774,2437,176075.824309827,286.264323641893,2942,129,2236,3876,901,2099
Manhattan,Washington Heights South,36061026100,0,9210,16383,25712,30987,4,5,5,6,12,6165.198029,,83.38495239,166700,489,754,121300,11570.9999784473,9056.99998313002,2080,10136.9999811184,637,1464,24999.9999534339,191.999999642372,12598.9999765325,383.999999284744,1297,149999.999720603,363.999999321997,13080,201,798,12087,360,582
Manhattan,Washington Heights South,36061026300,0,10672,20390,30297,24859,10,8,10,9,25,7628.205463,,92.59351504,97700,618,850,170100,7467.99996696319,6605.99997077649,715,8210.99996367632,1405,1142,64999.9997124542,209.999999071006,8679.99996160157,945.999995815102,959,187499.999170541,411.999998177402,9811,535,562,8729,708,411
Manhattan,Washington Heights North,36061026700,0,10810,14348,19947,23393,17,9,16,18,23,7457.446894,,96.5,55000,602,776,-999,1483,1441,23,2076,1347,27,,210,1679,511,51,0,408,1923,592,36,2173,1353,21
Manhattan,Washington Heights North,36061026900,0,9125,16629,22279,26362,4,5,5,7,19,4407.959959,16875,80.35533405,135000,525,773,330000,8343.99998445809,7262.99998647161,888,7708.99998564087,1024,525,29166.9999456722,183.999999657273,9959.99998144805,1367.9999974519,356,137499.999743886,353.999999340624,9931,1164,280,8428,709,266
